78104,"121.488,31.311",start location top 1
78144,"121.485,31.306",start location top 1
78144,"121.493,31.312",start location top 1
79361,"121.485,31.306",start location top 1
79361,"121.502,31.286",start location top 1
79472,"121.485,31.306",start location top 1
79472,"121.472,31.308",start location top 1
79723,"121.485,31.306",start location top 1
79723,"121.499,31.308",start location top 1
79810,"121.485,31.306",start location top 1
79810,"121.484,31.309",start location top 1
80704,"121.485,31.306",start location top 1
80704,"121.488,31.314",start location top 1
80808,"121.485,31.306",start location top 1
80808,"121.479,31.311",start location top 1
81226,"121.485,31.306",start location top 1
81226,"121.49,31.31",start location top 1
81316,"121.485,31.306",start location top 1
81316,"121.492,31.299",start location top 1
81403,"121.485,31.306",start location top 1
81403,"121.496,31.31",start location top 1
82882,"121.485,31.306",start location top 1
82882,"121.495,31.313",start location top 1
82993,"121.485,31.306",start location top 1
82993,"121.488,31.307",start location top 1
83408,"121.485,31.306",start location top 1
83408,"121.495,31.311",start location top 1
84924,"121.485,31.306",start location top 1
84924,"121.47,31.31",start location top 1
85246,"121.485,31.306",start location top 1
85246,"121.488,31.311",start location top 1
86178,"121.485,31.306",start location top 1
86178,"121.48,31.307",start location top 1
86629,"121.485,31.306",start location top 1
86629,"121.486,31.311",start location top 1
87257,"121.485,31.306",start location top 1
87257,"121.471,31.32",start location top 1
87411,"121.485,31.306",start location top 1
87411,"121.497,31.308",start location top 1
87477,"121.485,31.306",start location top 1
87477,"121.49,31.28",start location top 1
88638,"121.485,31.306",start location top 1
88638,"121.49,31.307",start location top 1
88696,"121.485,31.306",start location top 1
88696,"121.491,31.304",start location top 1
89964,"121.485,31.306",start location top 1
89964,"121.492,31.308",start location top 1
91302,"121.485,31.306",start location top 1
91302,"121.48,31.311",start location top 1
91657,"121.485,31.306",start location top 1
91657,"121.466,31.31",start location top 1
91772,"121.485,31.306",start location top 1
91772,"121.493,31.311",start location top 1
93539,"121.485,31.306",start location top 1
93539,"121.488,31.308",start location top 1
94335,"121.485,31.306",start location top 1
94335,"121.476,31.303",start location top 1
94622,"121.485,31.306",start location top 1
94622,"121.482,31.311",start location top 1
95114,"121.485,31.306",start location top 1
95114,"121.481,31.307",start location top 1
95297,"121.485,31.306",start location top 1
95297,"121.488,31.296",start location top 1
95563,"121.485,31.306",start location top 1
95563,"121.49,31.311",start location top 1
95885,"121.485,31.306",start location top 1
95885,"121.492,31.308",start location top 1
95922,"121.485,31.306",start location top 1
95922,"121.477,31.307",start location top 1
95927,"121.485,31.306",start location top 1
95927,"121.479,31.311",start location top 1
96048,"121.485,31.306",start location top 1
96048,"121.476,31.305",start location top 1
96419,"121.485,31.306",start location top 1
96419,"121.479,31.307",start location top 1
99024,"121.485,31.306",start location top 1
99024,"121.492,31.31",start location top 1
100097,"121.485,31.306",start location top 1
100097,"121.491,31.311",start location top 1
100511,"121.485,31.306",start location top 1
100511,"121.467,31.29300000000001",start location top 1
100762,"121.485,31.306",start location top 1
100762,"121.478,31.307",start location top 1
100815,"121.485,31.306",start location top 1
100815,"121.479,31.304",start location top 1
101110,"121.485,31.306",start location top 1
